Associated Gene Name	Ensembl Gene ID	CD4 naive	CD4 tcr	CD4 Th1	CD8 tcr	CD8 naive
Pak4	ENSMUSG00000030602	166	637	3535	166	93
Psmc4	ENSMUSG00000030603	227403	653244	982459	1323917	318673
Mfge8	ENSMUSG00000030605	3630	2474	4831	1969	960
Aen	ENSMUSG00000030609	273	7769	7557	54654	40
Det1	ENSMUSG00000030610	800	610	4207	1004	1575
Mrps11	ENSMUSG00000030611	4175	6012	21602	57147	5542
Mrpl46	ENSMUSG00000030612	7781	18884	70332	183547	12904
Tmem126a	ENSMUSG00000030615	7059	10572	12116	41403	3792
Eed	ENSMUSG00000030619	28209	64017	99654	184428	31790
Zfand6	ENSMUSG00000030629	4506	0	28179	13027	5069
Fah	ENSMUSG00000030630	175272	2538	44727	2464	1828
Ndufc2	ENSMUSG00000030647	52706	17029	41101	55865	40820
Pde2a	ENSMUSG00000030653	7146	477	2664	21032	20584
Arl6ip1	ENSMUSG00000030654	49062	138019	713985	169097	59816
Smg1	ENSMUSG00000030655	2816	5421	11760	17282	5179
Pik3c2a	ENSMUSG00000030660	590	1306	6531	4127	595
Ipo5	ENSMUSG00000030662	40855	284845	461582	1321379	70235
1110004F10Rik	ENSMUSG00000030663	10692	400057	393013	403702	277617
Pde3b	ENSMUSG00000030671	1995	7570	2920	8556	11004
Kif22	ENSMUSG00000030677	3680	994	71785	44455	370
Maz	ENSMUSG00000030678	2772	6197	11361	12003	3685
Mvp	ENSMUSG00000030681	17837	88431	168016	368130	19554
Cdipt	ENSMUSG00000030682	36975	26915	265872	106132	106908
Stard10	ENSMUSG00000030688	2356	2768	2744	737	1302
Fchsd2	ENSMUSG00000030691	702	3483	3497	5233	1712
Aldoa	ENSMUSG00000030695	412101	5049311	5904003	4302252	829496
Ppp4c	ENSMUSG00000030697	29633	126248	167658	346551	79114
Rab6a	ENSMUSG00000030704	299392	951612	529759	584120	180871
Mrpl48	ENSMUSG00000030706	17069	32898	107675	206643	51130
Coro1a	ENSMUSG00000030707	4011519	6357317	4925863	2287668	4106954
Ccdc101	ENSMUSG00000030714	8836	10512	12072	30670	9062
Ppme1	ENSMUSG00000030718	30148	92089	154411	330517	69658
Nfatc2ip	ENSMUSG00000030722	7734	5993	13583	11732	13282
Pold3	ENSMUSG00000030726	4366	22858	33666	68491	9214
Rabep2	ENSMUSG00000030727	435	18351	100982	41568	25656
Pgm2l1	ENSMUSG00000030729	6653	6343	1536	8557	6208
Sh2b1	ENSMUSG00000030733	415	1141	7347	6665	419
Eif3c	ENSMUSG00000030738	120058	434000	666866	2175789	158977
Myh14	ENSMUSG00000030739	50583	19369	111053	49251	29750
Lat	ENSMUSG00000030742	3138	8010	22784	39916	4473
Rps3	ENSMUSG00000030744	1566084	4878246	4673035	12026731	1833969
Il21r	ENSMUSG00000030745	386	6618	5307	4427	1793
Il4ra	ENSMUSG00000030748	473	666	9465	5461	490
Nsmce1	ENSMUSG00000030750	14352	21684	42899	46241	17592
Psma1	ENSMUSG00000030751	505129	1405394	2149220	2428568	1018969
Kdm8	ENSMUSG00000030752	365	109	3041	3040	512
Prkrir	ENSMUSG00000030753	9349	7394	6366	21825	6751
Copb1	ENSMUSG00000030754	95727	181770	532579	376294	113518
Far1	ENSMUSG00000030759	3295	54441	80269	221576	5525
Lcmt1	ENSMUSG00000030763	16971	19396	29095	26993	11535
Arhgap17	ENSMUSG00000030766	8410	25398	18394	31349	13849
Rbbp6	ENSMUSG00000030779	7384	12013	24460	26792	15511
BC017158	ENSMUSG00000030780	4829	1836	12221	30558	4329
Rnf141	ENSMUSG00000030788	509	387	8749	9174	444
Pycard	ENSMUSG00000030793	155185	509004	766696	1003025	733737
Fus	ENSMUSG00000030795	279372	911425	1349765	1501294	416168
Cd37	ENSMUSG00000030798	8983	21710	69484	21659	14309
Kat8	ENSMUSG00000030801	17319	11018	19778	46874	19251
Bckdk	ENSMUSG00000030802	4956	6709	18722	14469	3609
Bcl7c	ENSMUSG00000030814	12379	36212	79591	80969	23840
Phkg2	ENSMUSG00000030815	376	796	2739	2039	1367
Rnf40	ENSMUSG00000030816	20611	54722	89249	105624	41502
Prr14	ENSMUSG00000030822	17661	16733	11600	12085	13282
Nucb1	ENSMUSG00000030824	1339	165312	892040	348771	171899
Bcat2	ENSMUSG00000030826	104098	92969	177416	106216	27086
Itgal	ENSMUSG00000030830	73666	191053	723236	298463	100599
Nomo1	ENSMUSG00000030835	4380	55429	72105	128292	7561
Sergef	ENSMUSG00000030839	1398	1036	1938	8008	2006
Lamtor1	ENSMUSG00000030842	6489	13417	64453	64102	19049
Rgs10	ENSMUSG00000030844	47841	127574	70210	156402	180237
Tial1	ENSMUSG00000030846	20488	41978	95763	181953	22204
Ate1	ENSMUSG00000030850	10029	16361	17361	36793	11635
Acadsb	ENSMUSG00000030861	15129	21448	32125	85440	7953
Dctn5	ENSMUSG00000030868	15304	6427	40323	20321	4619
Ndufab1	ENSMUSG00000030869	651	2418	23627	15892	1515
Ubfd1	ENSMUSG00000030870	1010	8700	9475	4205	11667
Ears2	ENSMUSG00000030871	6828	5360	7621	4797	7107
Gga2	ENSMUSG00000030872	685	7494	1173	20199	812
Mettl9	ENSMUSG00000030876	1414	3369	3204	9236	1443
Mrpl17	ENSMUSG00000030879	5452	20189	50585	26751	2458
Polr3e	ENSMUSG00000030880	3947	10409	7805	26716	8745
Arfip2	ENSMUSG00000030881	954	4143	8379	23132	1101
Uqcrc2	ENSMUSG00000030884	467813	566015	423136	1038535	444609
Rrp8	ENSMUSG00000030888	10863	22337	33564	91245	15310
Ilk	ENSMUSG00000030890	14744	10422	112421	22624	35419
Tpp1	ENSMUSG00000030894	4074	6404	14251	2435	9001
Trim30a	ENSMUSG00000030921	3343	4448	14560	12206	11798
Oat	ENSMUSG00000030934	149511	451830	792646	1443281	62755
Thumpd1	ENSMUSG00000030942	160409	257028	159117	766110	148946
Mettl10	ENSMUSG00000030960	6475	16143	21189	32964	12972
Fam175b	ENSMUSG00000030965	14289	18586	42959	16030	15745
Trim21	ENSMUSG00000030966	26766	15755	86420	27112	31394
Rrm1	ENSMUSG00000030978	7571	85352	515012	486136	10234
Uros	ENSMUSG00000030979	1890	4799	11970	19013	8074
Knop1	ENSMUSG00000030980	977	26915	10878	37909	1724
9030624J02Rik	ENSMUSG00000030982	11566	7465	33783	12209	11927
Bccip	ENSMUSG00000030983	8084	104963	36582	191858	24246
Stim1	ENSMUSG00000030987	19936	20055	38956	49276	57635
Mki67	ENSMUSG00000031004	1145	4640	388987	67471	2117
Atp6ap2	ENSMUSG00000031007	2887	6033	28139	32755	14476
Usp9x	ENSMUSG00000031010	10685	27958	39997	52299	14035
Swap70	ENSMUSG00000031015	9424	204739	66462	57702	8187
Tmem9b	ENSMUSG00000031021	18696	16240	122657	73349	32558
Eif3f	ENSMUSG00000031029	44195	457977	678457	702705	115756
Ndufb11	ENSMUSG00000031059	46670	177148	124319	329157	78069
Rbm10	ENSMUSG00000031060	19675	36067	54144	77241	47261
Glrx3	ENSMUSG00000031068	33208	325931	374543	688542	129596
Fadd	ENSMUSG00000031077	25728	2067	61154	24777	20987
Dock11	ENSMUSG00000031093	22618	17005	23771	27614	25666
Cul4b	ENSMUSG00000031095	26189	58552	65971	115638	18008
Sash3	ENSMUSG00000031101	57241	176209	317189	307186	89540
Elf4	ENSMUSG00000031103	683	2995	6087	5636	3536
Rbmx2	ENSMUSG00000031107	9364	22724	12342	44553	10089
Arhgef6	ENSMUSG00000031133	77351	54789	260560	75807	113363
Rbmx	ENSMUSG00000031134	2882	6127	15579	7250	9985
Ccdc22	ENSMUSG00000031143	14307	21473	32255	51804	10686
Plp2	ENSMUSG00000031146	6573	2630	98947	8165	4017
Gpkow	ENSMUSG00000031148	16686	22956	43611	114785	25949
Gripap1	ENSMUSG00000031153	24630	23429	45596	84354	23034
Otud5	ENSMUSG00000031154	269	23213	17616	64566	907
Pqbp1	ENSMUSG00000031157	52176	103688	175123	326235	61731
Timm17b	ENSMUSG00000031158	19312	16476	38177	132954	16884
Hdac6	ENSMUSG00000031161	30661	3327	20501	8390	603
Was	ENSMUSG00000031165	63544	160639	350383	245889	146136
Wdr13	ENSMUSG00000031166	1291	1609	7642	5616	836
Rbm3	ENSMUSG00000031167	321206	2733440	5085703	1266378	719353
Ebp	ENSMUSG00000031168	12227	14475	46282	14272	6460
Ftsj1	ENSMUSG00000031171	2583	14620	27133	25617	5704
Dynlt3	ENSMUSG00000031176	453	9019	3061	27547	4971
Vbp1	ENSMUSG00000031197	33521	2982	144816	83754	16781
Fundc2	ENSMUSG00000031198	11566	25485	9129	83831	11237
Brcc3	ENSMUSG00000031201	43886	90517	102019	170016	48859
Msn	ENSMUSG00000031207	3812978	5151727	5481009	3890833	5568723
Igbp1	ENSMUSG00000031221	6564	33586	69901	180057	35270
Pbdc1	ENSMUSG00000031226	13708	39342	260532	255553	21194
Atrx	ENSMUSG00000031229	12724	21871	52997	37207	27912
Magt1	ENSMUSG00000031232	28577	85769	142553	108807	34752
Hmgn5	ENSMUSG00000031245	5043	287041	173638	237150	288289
Sh3bgrl	ENSMUSG00000031246	6531	15804	123450	60378	8022
Cstf2	ENSMUSG00000031256	1719	115623	25091	184704	90783
Cenpi	ENSMUSG00000031262	1033	988	4172	5193	6082
Gla	ENSMUSG00000031266	1092	16971	15420	10776	4434
Acsl4	ENSMUSG00000031278	6750	95238	285435	269675	8738
Pdha1	ENSMUSG00000031299	255680	411011	431880	547938	225169
Il2rg	ENSMUSG00000031304	8876	38872	68322	62864	8286
Rps6ka3	ENSMUSG00000031309	60410	55255	121243	119713	115468
Zmym3	ENSMUSG00000031310	980	2517	2894	2441	1669
Nono	ENSMUSG00000031311	450985	1070347	1368761	1644934	573651
Taf1	ENSMUSG00000031314	2584	3373	7061	7265	3599
Rps4x	ENSMUSG00000031320	1029187	3216577	5525492	6898225	1421936
Flna	ENSMUSG00000031328	225338	295028	154954	394132	350927
Abcb7	ENSMUSG00000031333	20821	38117	19488	119438	24578
Mtm1	ENSMUSG00000031337	1796	206	1071	1573	2275
Cetn2	ENSMUSG00000031347	33222	48664	23495	108871	35239
Nsdhl	ENSMUSG00000031349	6395	13803	124212	12956	8984
